Feature Set,Model,Accuracy,Precision,Recall,F1 Score,Training Time (s)
Boruta,Random Forest,0.9959,0.9957,0.9971,0.9964,58.0857
Boruta,XGBoost,0.9972,0.9973,0.9979,0.9976,707.6152
Boruta,SVM,0.9901,0.9929,0.9897,0.9913,951.5772
RFE,Random Forest,0.9976,0.9967,0.9991,0.9979,40.3718
RFE,XGBoost,0.9988,0.9986,0.9992,0.9989,617.7325
RFE,SVM,0.9964,0.9970,0.9968,0.9969,437.2165
Correlation,Random Forest,0.9790,0.9797,0.9836,0.9816,18.3929
Correlation,XGBoost,0.9806,0.9816,0.9845,0.9830,210.5043
Correlation,SVM,0.9777,0.9788,0.9823,0.9806,6075.1238
ContrastFS,Random Forest,0.9790,0.9798,0.9836,0.9817,16.6125
ContrastFS,XGBoost,0.9805,0.9814,0.9845,0.9829,193.5567
ContrastFS,SVM,0.9777,0.9788,0.9823,0.9806,3320.8652
All Features,Random Forest,0.9992,0.9988,0.9998,0.9993,68.0903
All Features,XGBoost,0.9992,0.9991,0.9995,0.9993,1393.9854
All Features,SVM,0.9978,0.9972,0.9990,0.9981,965.8739
